P051133258U,,KRAMW019202207043370,06/05/2026,|0190433700000033445,ETIMS/TIMS sales,270000.00
P051504774L,,KRAMW019202207043370,06/05/2026,|0190433700000033446,ETIMS/TIMS sales,63075.00
P051504774L,,KRAMW019202207043370,06/05/2026,|0190433700000033447,ETIMS/TIMS sales,55075.00
P000601772P,,KRAMW019202207043370,06/05/2026,|0190433700000033448,ETIMS/TIMS sales,307277.50
P051687330L,SAM WEST DISTRIBUTORS LIMITED,KRAMW019202207043370,06/05/2026,|0190433700000033449,ETIMS/TIMS sales,2539750.00
P052013881Z,,KRAMW019202207043370,06/05/2026,|0190433700000033455,ETIMS/TIMS sales,6650.00
P000601772P,,KRAMW019202207043370,06/05/2026,|0190433700000033456,ETIMS/TIMS sales,4025.00
P051188806D,,KRAMW019202207043370,06/05/2026,|0190433700000033457,ETIMS/TIMS sales,230575.00
P051188806D,,KRAMW019202207043370,06/05/2026,|0190433700000033458,ETIMS/TIMS sales,73000.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,06/05/2026,|0190433700000033459,ETIMS/TIMS sales,38250.00
P051188806D,,KRAMW019202207043370,06/05/2026,|0190433700000033460,ETIMS/TIMS sales,88000.00
P051188806D,,KRAMW019202207043370,06/05/2026,|0190433700000033461,ETIMS/TIMS sales,45300.00
P051188806D,,KRAMW019202207043370,06/05/2026,|0190433700000033462,ETIMS/TIMS sales,19000.00
P051504774L,,KRAMW019202207043370,06/05/2026,|0190433700000033463,ETIMS/TIMS sales,45400.00
P051504774L,,KRAMW019202207043370,06/05/2026,|0190433700000033464,ETIMS/TIMS sales,159600.00
P051594980U,,KRAMW019202207043370,06/05/2026,|0190433700000033465,ETIMS/TIMS sales,16000.00
P051874168U,,KRAMW019202207043370,06/05/2026,|0190433700000033466,ETIMS/TIMS sales,73500.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,06/05/2026,|0190433700000033467,ETIMS/TIMS sales,64800.00
P051522497N,,KRAMW019202207043370,06/05/2026,|0190433700000033468,ETIMS/TIMS sales,129600.00
P051522497N,,KRAMW019202207043370,06/05/2026,|0190433700000033469,ETIMS/TIMS sales,129600.00
P051522497N,,KRAMW019202207043370,06/05/2026,|0190433700000033470,ETIMS/TIMS sales,324000.00
P051522497N,,KRAMW019202207043370,06/05/2026,|0190433700000033471,ETIMS/TIMS sales,324000.00
P051522497N,,KRAMW019202207043370,06/05/2026,|0190433700000033472,ETIMS/TIMS sales,324000.00
P051633702W,,KRAMW019202207043370,06/05/2026,|0190433700000033473,ETIMS/TIMS sales,61000.00
P051522497N,,KRAMW019202207043370,06/05/2026,|0190433700000033474,ETIMS/TIMS sales,259200.00
P051522497N,,KRAMW019202207043370,06/05/2026,|0190433700000033475,ETIMS/TIMS sales,129600.00
P051522497N,,KRAMW019202207043370,06/05/2026,|0190433700000033476,ETIMS/TIMS sales,32400.00
P051522497N,,KRAMW019202207043370,06/05/2026,|0190433700000033477,ETIMS/TIMS sales,129600.00
P051522497N,,KRAMW019202207043370,06/05/2026,|0190433700000033478,ETIMS/TIMS sales,259200.00
P051522497N,,KRAMW019202207043370,06/05/2026,|0190433700000033479,ETIMS/TIMS sales,324000.00
P051522497N,,KRAMW019202207043370,06/05/2026,|0190433700000033480,ETIMS/TIMS sales,324000.00
P051522497N,,KRAMW019202207043370,06/05/2026,|0190433700000033481,ETIMS/TIMS sales,388800.00
P051522497N,,KRAMW019202207043370,06/05/2026,|0190433700000033482,ETIMS/TIMS sales,129600.00
P051522497N,,KRAMW019202207043370,06/05/2026,|0190433700000033483,ETIMS/TIMS sales,129600.00
P051522497N,,KRAMW019202207043370,06/05/2026,|0190433700000033484,ETIMS/TIMS sales,32400.00
P051230411B,,KRAMW019202207043370,06/05/2026,|0190433700000033485,ETIMS/TIMS sales,1709000.00
P000601772P,,KRAMW019202207043370,06/05/2026,|0190433700000033486,ETIMS/TIMS sales,-82124.22
P000601772P,,KRAMW019202207043370,06/05/2026,|0190433700000033487,ETIMS/TIMS sales,-195482.26
P000601772P,,KRAMW019202207043370,06/05/2026,|0190433700000033488,ETIMS/TIMS sales,-597045.58
P051594980U,,KRAMW019202207043370,06/05/2026,|0190433700000033489,ETIMS/TIMS sales,64400.00
P051799702S,,KRAMW019202207043370,06/05/2026,|0190433700000033490,ETIMS/TIMS sales,13000.00
P051188806D,,KRAMW019202207043370,06/05/2026,|0190433700000033491,ETIMS/TIMS sales,54250.00
P051504774L,,KRAMW019202207043370,06/05/2026,|0190433700000033492,ETIMS/TIMS sales,90925.00
P051188806D,,KRAMW019202207043370,06/05/2026,|0190433700000033493,ETIMS/TIMS sales,64000.00
P051522497N,,KRAMW019202207043370,06/05/2026,|0190433700000033494,ETIMS/TIMS sales,8000.00
P000601772P,Chandarana Supermarket Limited,KRAMW019202207043370,06/05/2026,|0190433700000033495,ETIMS/TIMS sales,2682000.00
P051522497N,,KRAMW019202207043370,07/05/2026,|0190433700000033496,ETIMS/TIMS sales,259200.00
P051522497N,,KRAMW019202207043370,07/05/2026,|0190433700000033497,ETIMS/TIMS sales,194400.00
P051522497N,,KRAMW019202207043370,07/05/2026,|0190433700000033498,ETIMS/TIMS sales,194400.00
P000614975E,,KRAMW019202207043370,07/05/2026,|0190433700000033500,ETIMS/TIMS sales,-512.00
P051522497N,,KRAMW019202207043370,07/05/2026,|0190433700000033501,ETIMS/TIMS sales,259200.00
P051522497N,,KRAMW019202207043370,07/05/2026,|0190433700000033502,ETIMS/TIMS sales,129600.00
P051522497N,,KRAMW019202207043370,07/05/2026,|0190433700000033503,ETIMS/TIMS sales,194400.00
P051522497N,,KRAMW019202207043370,07/05/2026,|0190433700000033504,ETIMS/TIMS sales,48000.00
P000601772P,,KRAMW019202207043370,07/05/2026,|0190433700000033505,ETIMS/TIMS sales,4141500.00
P000601772P,,KRAMW019202207043370,07/05/2026,|0190433700000033506,ETIMS/TIMS sales,-595523.23
P051229512W,,KRAMW019202207043370,07/05/2026,|0190433700000033507,ETIMS/TIMS sales,1395125.00
P051133258U,,KRAMW019202207043370,07/05/2026,|0190433700000033508,ETIMS/TIMS sales,41000.00
P000591538Q,,KRAMW019202207043370,07/05/2026,|0190433700000033509,ETIMS/TIMS sales,155600.00
P051210970U,,KRAMW019202207043370,07/05/2026,|0190433700000033510,ETIMS/TIMS sales,99000.00
P051522497N,,KRAMW019202207043370,07/05/2026,|0190433700000033511,ETIMS/TIMS sales,77760.00
P051504774L,,KRAMW019202207043370,07/05/2026,|0190433700000033512,ETIMS/TIMS sales,102150.00
P051568932R,,KRAMW019202207043370,07/05/2026,|0190433700000033513,ETIMS/TIMS sales,383000.00
P051522497N,,KRAMW019202207043370,07/05/2026,|0190433700000033514,ETIMS/TIMS sales,72200.00
P051188806D,,KRAMW019202207043370,07/05/2026,|0190433700000033515,ETIMS/TIMS sales,81725.00
P051676640N,LAKHANI GENERAL SUPPLIERS LIMITED,KRAMW019202207043370,08/05/2026,|0190433700000033516,ETIMS/TIMS sales,554000.00
P051127539B,Kranti Enterprises Limited,KRAMW019202207043370,08/05/2026,|0190433700000033518,ETIMS/TIMS sales,12800.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,08/05/2026,|0190433700000033519,ETIMS/TIMS sales,24050.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,08/05/2026,|0190433700000033520,ETIMS/TIMS sales,101375.00
P051123223G,NAIVAS LIMITED,KRAMW019202207043370,08/05/2026,|0190433700000033521,ETIMS/TIMS sales,-1177156.38
P051145649C,FAYAZ BAKERS LIMITED,KRAMW019202207043370,08/05/2026,|0190433700000033523,ETIMS/TIMS sales,37100.00
P051123223G,NAIVAS LIMITED,KRAMW019202207043370,08/05/2026,|0190433700000033524,ETIMS/TIMS sales,1177156.38
P051123223G,NAIVAS LIMITED,KRAMW019202207043370,08/05/2026,|0190433700000033525,ETIMS/TIMS sales,-1194301.48
P051146029U,Baraka Supermarket,KRAMW019202207043370,08/05/2026,|0190433700000033526,ETIMS/TIMS sales,46200.00
P051447063J,RAISONS DISTRIBUTORS LIMITED,KRAMW019202207043370,08/05/2026,|0190433700000033527,ETIMS/TIMS sales,679000.00
P000614975E,KILIMANI GREENGROCERS AND SUNDRIES LIMITED,KRAMW019202207043370,08/05/2026,|0190433700000033528,ETIMS/TIMS sales,835000.00
P051504774L,MAGUNAS SUPER STORE (K) LIMITED,KRAMW019202207043370,09/05/2026,|0190433700000033529,ETIMS/TIMS sales,34400.00
